ID,Order,SKU,Member
108,8315583,15669772,SSZRRWR
109,8315583,7580802,SSZRRWR
110,8315583,15669825,SSZRRWR
111,8227204,15669878,SWNSEHW
112,8227204,15668468,SWNSEHW
113,8227204,15669824,SWNSEHW
114,8227204,15668689,SWNSEHW
115,8227204,15668375,SWNSEHW
116,8135835,15668379,SSZEWOW
117,8135835,15669861,SSZEWOW
118,8135835,15669760,SSZEWOW
119,8135835,15669786,SSZEWOW
120,8135835,93141023,SSZEWOW
121,8109601,15668460,SSEWSWC
122,8109601,15668416,SSEWSWC
123,8109601,15668455,SSEWSWC
124,8109601,15668381,SSEWSWC
125,8109601,15668688,SSEWSWC
126,8230221,15669861,SSNLCOZ
127,8230221,15668469,SSNLCOZ
128,8230221,15668458,SSNLCOZ
129,8230221,15669887,SSNLCOZ
130,8230221,15668463,SSNLCOZ
131,7377566,15669878,SWRHCCH
132,7377566,15669772,SWRHCCH
133,7377566,15669864,SWRHCCH
134,7377566,15668378,SWRHCCH
135,7377566,15669863,SWRHCCH
136,7605272,15669789,SWOZLCN
137,7605272,15669880,SWOZLCN
138,7605272,15669869,SWOZLCN
139,7605272,15669860,SWOZLCN
140,7605272,15669764,SWOZLCN
141,7775378,15668685,SWOCEEH
142,7775378,15668474,SWOCEEH
143,7775378,15668416,SWOCEEH
144,7775378,15668459,SWOCEEH
145,7775378,15668689,SWOCEEH
146,7480357,15668471,SWLNWOC
147,7480357,15669856,SWLNWOC
148,7480357,15668379,SWLNWOC
149,7480357,15668381,SWLNWOC
150,7480357,15668520,SWLNWOC
151,7469858,7593949,SSLRSWO
152,7469858,93141092,SSLRSWO
153,7469858,15668379,SSLRSWO
154,7469858,93141023,SSLRSWO
155,7469858,15670251,SSLRSWO
156,7686733,15668458,SWOOLHC
157,7686733,15668379,SWOOLHC
158,7686733,15668459,SWOOLHC
159,7686733,15668378,SWOOLHC
160,7686733,15669881,SWOOLHC
161,8273657,7580802,SWNRZEW
162,8273657,15669789,SWNRZEW
163,8273657,15670251,SWNRZEW
164,8273657,15669764,SWNRZEW
165,8273657,15669780,SWNRZEW
166,8089109,15669780,SSLNHHC
167,8089109,15669777,SSLNHHC
168,8089109,15669799,SSLNHHC
169,8089109,15670267,SSLNHHC
170,8089109,15669772,SSLNHHC
171,8064480,15669859,SSRCENS
172,8064480,15668378,SSRCENS
173,8064480,15668465,SSRCENS
174,8064480,15669786,SSRCENS
175,8064480,15669804,SSRCENS
176,8277630,15668467,SWNHZNC
177,8277630,15668459,SWNHZNC
178,8277630,15668462,SWNHZNC
179,8277630,15668688,SWNHZNC
180,8277630,15668383,SWNHZNC
181,8282341,15668378,SSRORNN
182,8282341,15668468,SSRORNN
183,8282341,15668467,SSRORNN
184,8282341,15668687,SSRORNN
185,8282341,15668473,SSRORNN
186,7742018,15670157,SWLRHRW
187,7742018,15668471,SWLRHRW
188,7742018,15670251,SWLRHRW
189,7742018,15670245,SWLRHRW
190,7742018,15670241,SWLRHRW
191,7710637,15668381,SWCSHZW
192,7710637,15669887,SWCSHZW
193,7710637,15668480,SWCSHZW
194,7710637,15668520,SWCSHZW
195,7710637,15668459,SWCSHZW
196,7399616,15668688,SSLWESH
197,7399616,93141023,SSLWESH
198,7399616,93141092,SSLWESH
199,7399616,34986125,SSLWESH
200,7399616,34987629,SSLWESH
201,8089417,15668460,SWCCRWR
202,8089417,15668468,SWCCRWR
203,8089417,15670260,SWCCRWR
204,8089417,15668462,SWCCRWR
205,8089417,15668379,SWCCRWR
206,8136707,15668688,SWOHNSL
207,8136707,15668381,SWOHNSL
208,8136707,15669869,SWOHNSL
209,8136707,15668467,SWOHNSL
210,8136707,15669887,SWOHNSL
211,8080319,15668688,SSNSECH
212,8080319,15668378,SSNSECH
213,8080319,15668460,SSNSECH
214,8080319,15668381,SSNSECH
215,8080319,15668478,SSNSECH
216,8355025,15669777,SWOCHZL
217,8355025,15669767,SWOCHZL
218,8355025,15669857,SWOCHZL
219,8355025,15669878,SWOCHZL
220,8355025,15670267,SWOCHZL
221,8247161,15668378,SWONLWN
222,8247161,15669872,SWONLWN
223,8247161,15668468,SWONLWN
224,8247161,15668462,SWONLWN
225,8247161,15668478,SWONLWN
226,7663653,15668378,SWNEOSH
227,7663653,15669878,SWNEOSH
228,7663653,15669861,SWNEOSH
229,7663653,15670157,SWNEOSH
230,7663653,15670250,SWNEOSH
231,8094384,15668688,SSSEWCH
232,8094384,7593949,SSSEWCH
233,8094384,15668416,SSSEWCH
234,8094384,15668684,SSSEWCH
235,8094384,15669832,SSSEWCH
236,7516989,15669764,SWRHHWL
237,7516989,15668462,SWRHHWL
238,7516989,15668685,SWRHHWL
239,7516989,15668381,SWRHHWL
240,7516989,15669824,SWRHHWL
241,8131359,15668451,SWHRCEO
242,8131359,15669869,SWHRCEO
243,8131359,15668467,SWHRCEO
244,8131359,15669866,SWHRCEO
245,8131359,15668378,SWHRCEO
246,8119388,15669880,SWLSCLN
247,8119388,15669878,SWLSCLN
248,8119388,15669777,SWLSCLN
249,8119388,15668457,SWLSCLN
250,8119388,15668520,SWLSCLN
251,8149245,15669821,SSWELWZ
252,8149245,15669881,SSWELWZ
253,8149245,15669760,SSWELWZ
254,8149245,15669860,SSWELWZ
255,8149245,15669780,SSWELWZ
256,7518687,15668460,SWNEESC
257,7518687,15668471,SWNEESC
258,7518687,15668457,SWNEESC
259,7518687,15669878,SWNEESC
260,7518687,15668378,SWNEESC
261,8169684,15668379,SWLCCWC
262,8169684,15668465,SWLCCWC
263,8169684,15668468,SWLCCWC
264,8169684,15668688,SWLCCWC
265,8169684,15668520,SWLCCWC
266,8283998,15668460,SSLRELN
267,8283998,15668381,SSLRELN
268,8283998,15668379,SSLRELN
269,8283998,15668457,SSLRELN
270,8283998,15669778,SSLRELN
271,8342762,15668468,SSWZRHL
272,8342762,15669886,SSWZRHL
273,8342762,15668465,SSWZRHL
274,8342762,15668381,SSWZRHL
275,8342762,15669874,SSWZRHL
276,8337624,15668379,SWREHHO
277,8337624,15668451,SWREHHO
278,8337624,15668471,SWREHHO
279,8337624,15669772,SWREHHO
280,8337624,15670251,SWREHHO
281,8101018,15670260,SSLREZW
282,8101018,15668466,SSLREZW
283,8101018,15668478,SSLREZW
284,8101018,15670252,SSLREZW
285,8101018,15669961,SSLREZW
286,8140923,15669878,SWNZHZN
287,8140923,15669778,SWNZHZN
288,8140923,15669760,SWNZHZN
289,8140923,15669856,SWNZHZN
290,8140923,15669864,SWNZHZN
291,8061961,15668688,SSSCOOH
292,8061961,15668379,SSSCOOH
293,8061961,15668451,SSSCOOH
294,8061961,15668457,SSSCOOH
295,8061961,15669869,SSSCOOH
296,8269031,15670260,SWRLHOS
297,8269031,15668594,SWRLHOS
298,8269031,15669771,SWRLHOS
299,8269031,34987110,SWRLHOS
300,8269031,15670248,SWRLHOS
301,7730836,15668467,SWNNOWW
302,7730836,15668455,SWNNOWW
303,7730836,7569801,SWNNOWW
304,7730836,7624788,SWNNOWW
305,7730836,15669781,SWNNOWW
306,8322799,7580823,SWOCNCN
307,8322799,15669783,SWOCNCN
308,8322799,15669860,SWOCNCN
309,8322799,15669763,SWOCNCN
310,8322799,15669880,SWOCNCN
311,7826605,15668378,SWNRWOH
312,7826605,15669878,SWNRWOH
313,7826605,15668469,SWNRWOH
314,7826605,15669864,SWNRWOH
315,7826605,15669880,SWNRWOH
316,7812284,15668478,SWLLESL
317,7812284,15668688,SWLLESL
318,7812284,15668378,SWLLESL
319,7812284,15669863,SWLLESL
320,7812284,15669772,SWLLESL
321,8079315,15668462,SSSHNNH
322,8079315,15668460,SSSHNNH
323,8079315,15669778,SSSHNNH
324,8079315,15669861,SSSHNNH
325,8079315,15669860,SSSHNNH
326,8087495,15668521,SSCZRCZ
327,8087495,34990774,SSCZRCZ
328,8087495,7569805,SSCZRCZ
329,8087495,15669789,SSCZRCZ
330,8087495,15668685,SSCZRCZ
331,7830638,15669861,SWLSZWZ
332,7830638,15668451,SWLSZWZ
333,7830638,15669824,SWLSZWZ
334,7830638,15668473,SWLSZWZ
335,7830638,15669880,SWLSZWZ
336,8265392,15669764,SWCCSEN
337,8265392,15668459,SWCCSEN
338,8265392,15668468,SWCCSEN
339,8265392,15668478,SWCCSEN
340,8265392,15669856,SWCCSEN
341,7756215,15668468,SWNNZOR
342,7756215,15668474,SWNNZOR
343,7756215,15668460,SWNNZOR
344,7756215,15668459,SWNNZOR
345,7756215,15668454,SWNNZOR
346,8096359,15668457,SSWRLZN
347,8096359,15668379,SSWRLZN
348,8096359,15668458,SSWRLZN
349,8096359,15668462,SSWRLZN
350,8096359,15668520,SSWRLZN
351,8192688,15668460,SSZLWLC
352,8192688,15668467,SSZLWLC
353,8192688,15668455,SSZLWLC
354,8192688,15668462,SSZLWLC
355,8192688,15668465,SSZLWLC
356,8205042,15668460,SSSNESR
357,8205042,15668458,SSSNESR
358,8205042,15669864,SSSNESR
359,8205042,15669764,SSSNESR
360,8205042,15669866,SSSNESR
361,8087997,15668478,SWCOLON
362,8087997,15668381,SWCOLON
363,8087997,15668378,SWCOLON
364,8087997,15668467,SWCOLON
365,8087997,7580802,SWCOLON
366,8071092,15668465,SSLNESH
367,8071092,7580823,SSLNESH
368,8071092,15668462,SSLNESH
369,8071092,15669821,SSLNESH
370,8071092,15669884,SSLNESH
371,8180759,15669780,SSWWLCZ
372,8180759,15668381,SSWWLCZ
373,8180759,15668379,SSWWLCZ
374,8180759,15668465,SSWWLCZ
375,8180759,15668416,SSWWLCZ
376,7504989,15668460,SWLECZN
377,7504989,15668688,SWLECZN
378,7504989,15668462,SWLECZN
379,7504989,15668379,SWLECZN
380,7504989,15668478,SWLECZN
381,7493590,15669864,SWRELHW
382,7493590,15669878,SWRELHW
383,7493590,15669832,SWRELHW
384,7493590,15668381,SWRELHW
385,7493590,15669887,SWRELHW
386,7585530,15668453,SWOSCLE
387,7585530,15669764,SWOSCLE
388,7585530,15669878,SWOSCLE
389,7585530,15669778,SWOSCLE
390,7585530,15668468,SWOSCLE
391,8170383,15669818,SSRRSOZ
392,8170383,15669861,SSRRSOZ
393,8170383,15669776,SSRRSOZ
394,8170383,15669965,SSRRSOZ
395,8170383,15669817,SSRRSOZ
396,8230690,15669866,SSWREEE
397,8230690,15669765,SSWREEE
398,8230690,15669764,SSWREEE
399,8230690,15669773,SSWREEE
400,8230690,15669875,SSWREEE
401,8214422,15668468,SWHCOOW
402,8214422,15669824,SWHCOOW
403,8214422,15668688,SWHCOOW
404,8214422,15669874,SWHCOOW
405,8214422,15669863,SWHCOOW
406,8083432,15669780,SSLLLZC
407,8083432,15668380,SSLLLZC
408,8083432,15668469,SSLLLZC
409,8083432,15668467,SSLLLZC
410,8083432,15670269,SSLLLZC
411,8256966,15669777,SSNNSRR
412,8256966,15669869,SSNNSRR
413,8256966,15670267,SSNNSRR
414,8256966,15670269,SSNNSRR
415,8256966,15668462,SSNNSRR
416,7618192,15668473,SWLLREW
417,7618192,15668476,SWLLREW
418,7618192,15668459,SWLLREW
419,7618192,15670241,SWLLREW
420,7618192,15668470,SWLLREW
421,8065871,15669817,SSWCOLR
422,8065871,15668460,SSWCOLR
423,8065871,15668469,SSWCOLR
424,8065871,15668462,SSWCOLR
425,8065871,15668465,SSWCOLR
426,8066070,15668379,SSCZESH
427,8066070,15668473,SSCZESH
428,8066070,15668460,SSCZESH
429,8066070,15668378,SSCZESH
430,8066070,15669772,SSCZESH
431,8120159,15669778,SWLZRZH
432,8120159,15668451,SWLZRZH
433,8120159,15668465,SWLZRZH
434,8120159,15669775,SWLZRZH
435,8120159,15668478,SWLZRZH
436,8287030,15669764,SWOHOZL
437,8287030,15669780,SWOHOZL
438,8287030,15669861,SWOHOZL
439,8287030,15669771,SWOHOZL
440,8287030,15669885,SWOHOZL
441,7448378,15668468,SWORWHW
442,7448378,15669777,SWORWHW
443,7448378,15668688,SWORWHW
444,7448378,15669863,SWORWHW
445,7448378,15669772,SWORWHW
446,8072719,15668685,SWNZOLC
447,8072719,15668457,SWNZOLC
448,8072719,15669860,SWNZOLC
449,8072719,15668689,SWNZOLC
450,8072719,15668378,SWNZOLC
451,8108141,15669856,SSRCEWZ
452,8108141,15669860,SSRCEWZ
453,8108141,15669765,SSRCEWZ
454,8108141,15669866,SSRCEWZ
455,8108141,15669773,SSRCEWZ
456,7559166,15668688,SWOOOLL
457,7559166,15668467,SWOOOLL
458,7559166,15668478,SWOOOLL
459,7559166,15669780,SWOOOLL
460,7559166,15669878,SWOOOLL
461,7489019,15668465,SWESSEO
462,7489019,15668379,SWESSEO
463,7489019,15670251,SWESSEO
464,7489019,15668468,SWESSEO
465,7489019,15668457,SWESSEO
466,7863862,15669863,SWNESWN
467,7863862,15669861,SWNESWN
468,7863862,15669773,SWNESWN
469,7863862,15669760,SWNESWN
470,7863862,15669881,SWNESWN
471,8149114,15668478,SSLLREN
472,8149114,15668688,SSLLREN
473,8149114,15668465,SSLLREN
474,8149114,15668462,SSLLREN
475,8149114,15668378,SSLLREN
476,7707108,15668685,SWONWWS
477,7707108,15668462,SWONWWS
478,7707108,15669869,SWONWWS
479,7707108,15669764,SWONWWS
480,7707108,15669861,SWONWWS
481,7565166,15668478,SWLWHWC
482,7565166,15668467,SWLWHWC
483,7565166,15668688,SWLWHWC
484,7565166,15668457,SWLWHWC
485,7565166,15668473,SWLWHWC
486,8384422,15668379,SSWNRHC
487,8384422,15668688,SSWNRHC
488,8384422,15669764,SSWNRHC
489,8384422,15669783,SSWNRHC
490,8384422,7569801,SSWNRHC
491,8162986,15669760,SSSWSNS
492,8162986,15669818,SSSWSNS
493,8162986,15669778,SSSWSNS
494,8162986,7625765,SSSWSNS
495,8162986,15669878,SSSWSNS
496,8074475,15669789,SWNRLOS
497,8074475,15669881,SWNRLOS
498,8074475,15669803,SWNRLOS
499,8074475,15670269,SWNRLOS
500,8074475,15669864,SWNRLOS
501,8102389,15668381,SSCZSEE
502,8102389,15668449,SSCZSEE
503,8102389,15668520,SSCZSEE
504,8102389,15668469,SSCZSEE
505,8102389,15669777,SSCZSEE
506,8142419,15669887,SSNRHCO
507,8142419,15669872,SSNRHCO
508,8142419,15669814,SSNRHCO
509,8142419,15669817,SSNRHCO
510,8142419,15670157,SSNRHCO
511,8346285,15669763,SWHENWW
512,8346285,15668519,SWHENWW
513,8346285,15669857,SWHENWW
514,8346285,7569802,SWHENWW
515,8346285,15669818,SWHENWW
516,8092443,15669799,SWOZSCZ
517,8092443,15669856,SWOZSCZ
518,8092443,15669776,SWOZSCZ
519,8092443,15669764,SWOZSCZ
520,8092443,15669869,SWOZSCZ
521,8152823,15669767,SWEONLR
522,8152823,15669870,SWEONLR
523,8152823,15669881,SWEONLR
524,8152823,34986118,SWEONLR
525,8152823,15669771,SWEONLR
526,7345164,15668416,SWCENNH
527,7345164,15668453,SWCENNH
528,7345164,15670251,SWCENNH
529,7345164,15669857,SWCENNH
530,7345164,15668471,SWCENNH
531,8080057,15668416,SSCLSCL
532,8080057,15668453,SSCLSCL
533,8080057,15668463,SSCLSCL
534,8080057,15668473,SSCLSCL
535,8080057,15668458,SSCLSCL
536,7421133,15670260,SWEHORE
537,7421133,15670157,SWEHORE
538,7421133,15669772,SWEHORE
539,7421133,15670251,SWEHORE
540,7421133,15670241,SWEHORE
541,8124069,15668381,SSONROH
542,8124069,15668462,SSONROH
543,8124069,15669887,SSONROH
544,8124069,15668469,SSONROH
545,8124069,15668519,SSONROH
546,8209386,7580802,SSCRSZS
547,8209386,15669817,SSCRSZS
548,8209386,15670267,SSCRSZS
549,8209386,15669866,SSCRSZS
550,8209386,15669769,SSCRSZS
551,8112726,15669869,SWREHOR
552,8112726,15669777,SWREHOR
553,8112726,15669878,SWREHOR
554,8112726,15669861,SWREHOR
555,8112726,15669772,SWREHOR
556,7764086,15669878,SWLEWSE
557,7764086,7689353,SWLEWSE
558,7764086,15669789,SWLEWSE
559,7764086,15669869,SWLEWSE
560,7764086,15668383,SWLEWSE
561,7785531,15669869,SWOCLHE
562,7785531,15668468,SWOCLHE
563,7785531,15668416,SWOCLHE
564,7785531,15669885,SWOCLHE
565,7785531,15669770,SWOCLHE
566,7724198,15668478,SSZZZOE
567,7724198,15669864,SSZZZOE
568,7724198,15668474,SSZZZOE
569,7724198,15668459,SSZZZOE
570,7724198,15670157,SSZZZOE
571,8139620,15668467,SWCHOEW
572,8139620,15668458,SWCHOEW
573,8139620,15669869,SWCHOEW
574,8139620,15669988,SWCHOEW
575,8139620,15669817,SWCHOEW
576,8088038,15669780,SWLNZNC
577,8088038,15669835,SWLNZNC
578,8088038,15669790,SWLNZNC
579,8088038,15668381,SWLNZNC
580,8088038,15669878,SWLNZNC
581,8087273,15668458,SSCRSWO
582,8087273,15669863,SSCRSWO
583,8087273,15668460,SSCRSWO
584,8087273,15668468,SSCRSWO
585,8087273,15669860,SSCRSWO
586,8213907,15669860,SSNZRZN
587,8213907,15669878,SSNZRZN
588,8213907,15669864,SSNZRZN
589,8213907,15669799,SSNZRZN
590,8213907,15669881,SSNZRZN
591,8078727,15669880,SSHOZRZ
592,8078727,15668465,SSHOZRZ
593,8078727,15668451,SSHOZRZ
594,8078727,15668469,SSHOZRZ
595,8078727,15669769,SSHOZRZ
596,8356240,15670267,SWHNLCN
597,8356240,15668458,SWHNLCN
598,8356240,15669872,SWHNLCN
599,8356240,15669861,SWHNLCN
600,8356240,15668460,SWHNLCN
601,7654205,15669777,SWRHNWW
602,7654205,15669835,SWRHNWW
603,7654205,15669878,SWRHNWW
604,7654205,15669780,SWRHNWW
605,7654205,15669870,SWRHNWW
606,8150875,15669870,SWOSOHE
607,8150875,15669780,SWOSOHE
608,8150875,7580823,SWOSOHE
609,8150875,15669818,SWOSOHE
610,8150875,15668688,SWOSOHE
611,8127465,15668460,SSEWSRE
612,8127465,15669777,SSEWSRE
613,8127465,15668465,SSEWSRE
614,8127465,15668473,SSEWSRE
615,8127465,15668470,SSEWSRE
616,7821280,15669775,SWLLZCE
617,7821280,15669782,SWLLZCE
618,7821280,15668520,SWLLZCE
619,7821280,15669763,SWLLZCE
620,7821280,15669764,SWLLZCE
621,7717595,15668462,SWLZNHZ
622,7717595,15669864,SWLZNHZ
623,7717595,15669869,SWLZNHZ
624,7717595,15668381,SWLZNHZ
625,7717595,15669878,SWLZNHZ
626,8106238,15668685,SSWOOZW
627,8106238,15668460,SSWOOZW
628,8106238,15668688,SSWOOZW
629,8106238,15670157,SSWOOZW
630,8106238,15668474,SSWOOZW
631,8342609,15668478,SWLCOHC
632,8342609,15668688,SWLCOHC
633,8342609,15670157,SWLCOHC
634,8342609,15669818,SWLCOHC
635,8342609,15669780,SWLCOHC
636,7633637,15668381,SWERHHR
637,7633637,15668378,SWERHHR
638,7633637,15668687,SWERHHR
639,7633637,15669760,SWERHHR
640,7633637,15668469,SWERHHR
641,8083038,15669859,SSCWNSN
642,8083038,15668478,SSCWNSN
643,8083038,15669863,SSCWNSN
644,8083038,15669760,SSCWNSN
645,8083038,15668684,SSCWNSN
646,7608368,15668467,SWRCSSC
647,7608368,15669832,SWRCSSC
648,7608368,15669887,SWRCSSC
649,7608368,15668687,SWRCSSC
650,7608368,15668459,SWRCSSC
651,8081573,15668460,SWORNSW
652,8081573,15668457,SWORNSW
653,8081573,15669780,SWORNSW
654,8081573,15668381,SWORNSW
655,8081573,15670267,SWORNSW
656,8172842,15669861,SWLERES
657,8172842,15669776,SWLERES
658,8172842,15668379,SWLERES
659,8172842,15668451,SWLERES
660,8172842,15669864,SWLERES
661,7809643,15669878,SWLHWZE
662,7809643,15668381,SWLHWZE
663,7809643,15669887,SWLHWZE
664,7809643,15668480,SWLHWZE
665,7809643,15669781,SWLHWZE
666,8276533,15668381,SWHELSW
667,8276533,15669863,SWHELSW
668,8276533,15669859,SWHELSW
669,8276533,15669824,SWHELSW
670,8276533,15668468,SWHELSW
671,8220172,15668467,SSLOZSC
672,8220172,15670267,SSLOZSC
673,8220172,15669764,SSLOZSC
674,8220172,15669887,SSLOZSC
675,8220172,15669818,SSLOZSC
676,8075344,15668460,SWOSZOL
677,8075344,15668688,SWOSZOL
678,8075344,15668416,SWOSZOL
679,8075344,15670251,SWOSZOL
680,8075344,15668465,SWOSZOL
681,8106290,15668460,SWLCEZW
682,8106290,15669778,SWLCEZW
683,8106290,15669817,SWLCEZW
684,8106290,15668451,SWLCEZW
685,8106290,15668685,SWLCEZW
686,7862618,15668379,SWNNNES
687,7862618,15668383,SWNNNES
688,7862618,15668458,SWNNNES
689,7862618,15668462,SWNNNES
690,7862618,15669875,SWNNNES
691,8256944,15669775,SSSZCHS
692,8256944,15669886,SSSZCHS
693,8256944,15669790,SSSZCHS
694,8256944,15669874,SSSZCHS
695,8256944,15668378,SSSZCHS
696,8133880,15668465,SSLWESO
697,8133880,15668381,SSLWESO
698,8133880,15668460,SSLWESO
699,8133880,15669775,SSLWESO
700,8133880,15668468,SSLWESO
701,8200309,15669864,SWOORON
702,8200309,15669856,SWOORON
703,8200309,15669878,SWOORON
704,8200309,15668467,SWOORON
705,8200309,7637309,SWOORON
706,7604413,15668478,SWNOLEE
707,7604413,15669780,SWNOLEE
708,7604413,15669764,SWNOLEE
709,7604413,15669878,SWNOLEE
710,7604413,15668465,SWNOLEE
711,8120853,15668379,SSLSNCH
712,8120853,15669878,SSLSNCH
713,8120853,15668478,SSLSNCH
714,8120853,15668381,SSLSNCH
715,8120853,15668378,SSLSNCH
716,8064356,15668685,SWHERHH
717,8064356,15668478,SWHERHH
718,8064356,15668688,SWHERHH
719,8064356,15668465,SWHERHH
720,8064356,15668462,SWHERHH
721,7515099,15668379,SWHLSNW
722,7515099,15668462,SWHLSNW
723,7515099,15668457,SWHLSNW
724,7515099,15669780,SWHLSNW
725,7515099,15669869,SWHLSNW
726,7819500,15668688,SWLLLCW
727,7819500,15669772,SWLLLCW
728,7819500,15668383,SWLLLCW
729,7819500,15668455,SWLLLCW
730,7819500,15669773,SWLLLCW
731,8080596,15668480,SSNLZHH
732,8080596,15669772,SSNLZHH
733,8080596,15668688,SSNLZHH
734,8080596,7572312,SSNLZHH
735,8080596,7569801,SSNLZHH
736,8086954,15670269,SSOEZWZ
737,8086954,15668460,SSOEZWZ
738,8086954,21409004,SSOEZWZ
739,8086954,7572254,SSOEZWZ
740,8086954,15669887,SSOEZWZ
741,8156893,15668685,SSZZLOE
742,8156893,15670251,SSZZLOE
743,8156893,15668478,SSZZLOE
744,8156893,15668379,SSZZLOE
745,8156893,15669760,SSZZLOE
746,8129915,15668688,SWEORLR
747,8129915,15669780,SWEORLR
748,8129915,15668465,SWEORLR
749,8129915,15668460,SWEORLR
750,8129915,15668685,SWEORLR
751,7503858,15668460,SWLRZNL
752,7503858,15668685,SWLRZNL
753,7503858,15668462,SWLRZNL
754,7503858,15668455,SWLRZNL
755,7503858,15668449,SWLRZNL
756,8145266,15669861,SWNRHWZ
757,8145266,15670267,SWNRHWZ
758,8145266,15669880,SWNRHWZ
759,8145266,21408952,SWNRHWZ
760,8145266,15669778,SWNRHWZ
761,7584632,15669864,SWLNECZ
762,7584632,15669859,SWLNECZ
763,7584632,15669863,SWLNECZ
764,7584632,15669887,SWLNECZ
765,7584632,15669778,SWLNECZ
766,8069362,15668465,SSRENSZ
767,8069362,15668462,SSRENSZ
768,8069362,15668451,SSRENSZ
769,8069362,15669778,SSRENSZ
770,8069362,15669824,SSRENSZ
771,8083081,15670250,SSNCWZO
772,8083081,15668416,SSNCWZO
773,8083081,15668468,SSNCWZO
774,8083081,15668685,SSNCWZO
775,8083081,15670196,SSNCWZO
776,7806900,15669878,SWLWCSW
777,7806900,15669780,SWLWCSW
778,7806900,15669872,SWLWCSW
779,7806900,15669778,SWLWCSW
780,7806900,15669861,SWLWCSW
781,7587814,15668465,SWCSEHL
782,7587814,15669773,SWCSEHL
783,7587814,15669772,SWCSEHL
784,7587814,15669869,SWCSEHL
